City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Jieshi,CN,2021-12-11 20:57:15,22.8134,115.8257,63.43,85,0,10.56
278,Cookeville,US,2021-12-11 20:54:50,36.1628,-85.5016,51.78,77,75,4.0
279,Yenagoa,NG,2021-12-11 20:57:16,4.9247,6.2642,79.16,82,67,4.32
280,Omsukchan,RU,2021-12-11 20:57:16,62.5333,155.8,-22.49,100,59,1.9
281,Petropavlovsk-Kamchatskiy,RU,2021-12-11 20:57:16,53.0452,158.6483,27.19,80,75,6.71
282,Sambava,MG,2021-12-11 20:54:19,-14.2667,50.1667,73.18,79,2,8.79
283,Pacific Grove,US,2021-12-11 20:57:17,36.6177,-121.9166,61.57,60,32,4.0
284,Poum,NC,2021-12-11 20:57:17,-20.2333,164.0167,81.93,78,100,15.17
285,Victoria,HK,2021-12-11 20:57:17,22.2855,114.1577,68.32,87,0,1.99
286,Camacha,PT,2021-12-11 20:57:18,33.0833,-16.3333,61.56,82,40,8.05
287,Atemar,RU,2021-12-11 20:57:18,54.181,45.4091,16.84,74,7,8.7
288,Russell,US,2021-12-11 20:57:18,32.3502,-85.1999,79.88,88,75,5.75
289,Dondo,MZ,2021-12-11 20:57:19,-19.6094,34.7431,81.91,89,11,6.87
290,Geraldton,AU,2021-12-11 20:57:19,-28.7667,114.6,64.81,72,90,10.36
