City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
455,Doha,QA,64.38,clear sky,25.2867,51.5333,Movenpick Hotel Doha
456,Sringeri,IN,72.5,scattered clouds,13.4167,75.25,Hotel Advaith Lancer
457,Colomi,BO,60.82,overcast clouds,-17.35,-65.8667,Casa
460,Shangrao,CN,54.64,overcast clouds,28.4532,117.9686,Boyue boutique Hotel
464,Progreso,MX,81.1,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
466,Teguise,ES,59.22,scattered clouds,29.0605,-13.564,B&B La Casona de Nazaret
468,Nemuro,JP,45.03,few clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
470,Roald,NO,41.14,broken clouds,62.5833,6.1333,Flem Cabins
471,Peniche,PT,51.1,scattered clouds,39.3558,-9.3811,Hotel Star inn Peniche
473,Esmeralda,CU,74.44,clear sky,21.8525,-78.1169,Centro de Pioneros Exploradores
474,Tekirdag,TR,60.15,light rain,40.978,27.5085,Tekirdağ Yat Hotel
476,Pasighat,IN,64.96,clear sky,28.0667,95.3333,Siang Guest House
477,Concepcion Del Oro,MX,57.69,overcast clouds,24.6333,-101.4167,Hotel Hacienda San Javier
478,Turiacu,BR,76.39,scattered clouds,-1.6633,-45.3717,Pousada Maranata
479,Washougal,US,48.36,overcast clouds,45.5826,-122.3534,Camas Boutique Hotel
480,Tautira,PF,84.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
481,Maragogi,BR,78.01,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
483,Saint George,US,40.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
488,Moron,AR,76.01,broken clouds,-34.6534,-58.6198,Hotel Morón
490,Ibipeba,BR,69.69,overcast clouds,-11.6408,-42.0111,Quitanda santos
491,Atakpame,TG,74.8,overcast clouds,7.5333,1.1333,Hôtel sahélien
493,Muana,BR,76.5,broken clouds,-1.5283,-49.2167,Pousada Bella do Marajó
